productId:ID(Product),ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,SupplierName,labels:LABEL
37,飞利浦 智能马桶 Max,7,15,2个/包,9941.8,754,113,50,0,智能马桶,飞利浦智能照明,Product
38,西门子 智能冰箱 Standard,12,8,2个/包,4347.58,403,108,46,0,智能冰箱,西门子智能家居,Product
39,西门子 智能音箱 Mini,12,1,3个/套,1668.63,714,65,17,0,智能音箱,西门子智能家居,Product
40,小米 智能马桶 Lite,1,15,1个/件,6252.3,238,85,67,0,智能马桶,小米智能家居,Product
41,索尼 智能空气净化器 Ultra,14,17,5个/套,9311.59,395,181,70,0,智能空气净化器,索尼智能科技,Product
42,谷歌 智能净水器 Ultra,5,16,1套/箱,7844.22,625,21,83,0,智能净水器,谷歌智能设备,Product
43,华为 智能电视 Max,2,11,3个/套,4139.84,928,96,10,0,智能电视,华为智能生活,Product
44,小米 智能空调 Elite,1,10,3个/套,7690.31,950,136,39,0,智能空调,小米智能家居,Product
45,博世 智能马桶 Max,11,15,1套/箱,7392.23,691,138,82,0,智能马桶,博世智能系统,Product
46,小米 智能开关 Max,1,14,1套/箱,2038.82,79,121,84,0,智能开关,小米智能家居,Product
47,苹果 智能灯具 Basic,3,2,1个/盒,2411.14,784,137,42,0,智能灯具,苹果智能家庭,Product
48,苹果 智能门锁 Pro,3,4,1台/箱,815.71,362,184,52,0,智能门锁,苹果智能家庭,Product
49,松下 智能加湿器 Pro,13,18,2个/包,8374.66,752,36,79,1,智能加湿器,松下智能电器,Product
50,苹果 智能空气净化器 Basic,3,17,3个/套,9846.71,20,125,86,0,智能空气净化器,苹果智能家庭,Product
51,苹果 智能开关 Basic,3,14,1个/盒,869.49,580,7,37,0,智能开关,苹果智能家庭,Product
52,小米 智能插座 Max,1,3,5个/套,5793.04,765,131,49,0,智能插座,小米智能家居,Product
53,华为 智能电视 Lite,2,11,1个/盒,2968.02,329,180,14,0,智能电视,华为智能生活,Product
54,博世 智能开关 Max,11,14,5个/套,7392.09,960,135,75,0,智能开关,博世智能系统,Product
55,飞利浦 智能手环 Max,7,13,2个/包,6762.29,122,58,29,0,智能手环,飞利浦智能照明,Product
56,华为 智能体重秤 Advanced,2,12,5个/套,263.12,119,7,70,0,智能体重秤,华为智能生活,Product
57,博世 智能净水器 Plus,11,16,3个/套,4134.03,634,135,33,0,智能净水器,博世智能系统,Product
58,松下 智能扫地机器人 Plus,13,7,5个/套,998.22,435,110,54,1,智能扫地机器人,松下智能电器,Product
59,西门子 智能摄像头 Max,12,5,1个/盒,5402.93,549,143,29,0,智能摄像头,西门子智能家居,Product
60,华为 智能窗帘 Basic,2,6,1套/箱,2259.63,911,114,52,0,智能窗帘,华为智能生活,Product
61,LG 智能洗衣机 Max,15,9,1台/箱,759.0,464,144,40,0,智能洗衣机,LG智能家电,Product
62,华为 智能洗衣机 Ultra,2,9,2个/包,8401.38,15,176,61,0,智能洗衣机,华为智能生活,Product
63,LG 智能净水器 Basic,15,16,2个/包,9118.55,191,37,97,0,智能净水器,LG智能家电,Product
64,亚马逊 智能马桶 Standard,4,15,3个/套,6039.3,849,60,39,0,智能马桶,亚马逊智能科技,Product
65,西门子 智能空调 Basic,12,10,1套/箱,6493.01,993,79,42,0,智能空调,西门子智能家居,Product
66,松下 智能马桶 Elite,13,15,1个/件,9184.21,568,14,19,0,智能马桶,松下智能电器,Product
67,松下 智能电饭煲 Pro,13,19,3个/套,1510.53,116,196,90,0,智能电饭煲,松下智能电器,Product
68,博世 智能插座 Basic,11,3,1套/箱,3665.95,102,42,80,0,智能插座,博世智能系统,Product
69,谷歌 智能洗衣机 Elite,5,9,3个/套,4072.02,697,149,75,0,智能洗衣机,谷歌智能设备,Product
70,博世 智能净水器 Max,11,16,1台/件,7890.83,202,25,76,0,智能净水器,博世智能系统,Product
71,索尼 智能冰箱 Elite,14,8,3个/套,6386.01,344,116,25,0,智能冰箱,索尼智能科技,Product
72,西门子 智能洗衣机 Pro,12,9,5个/套,6209.73,115,187,29,0,智能洗衣机,西门子智能家居,Product
73,飞利浦 智能扫地机器人 Ultra,7,7,2个/包,259.27,609,73,80,0,智能扫地机器人,飞利浦智能照明,Product
74,松下 智能窗帘 Lite,13,6,2个/包,2277.79,919,167,34,0,智能窗帘,松下智能电器,Product
75,亚马逊 智能空调 Standard,4,10,1个/盒,9247.38,250,136,26,0,智能空调,亚马逊智能科技,Product
76,松下 智能窗帘 Advanced,13,6,3个/套,7412.19,511,48,76,0,智能窗帘,松下智能电器,Product
77,美的 智能洗衣机 Advanced,9,9,3个/套,6994.39,544,124,82,0,智能洗衣机,美的智能科技,Product
78,三星 智能音箱 Elite,6,1,5个/套,5080.6,562,162,46,0,智能音箱,三星智能家电,Product
79,格力 智能手环 Lite,10,13,1台/件,9808.19,966,103,19,0,智能手环,格力智能电器,Product
80,LG 智能音箱 Lite,15,1,1套/箱,6885.61,632,92,27,1,智能音箱,LG智能家电,Product
81,亚马逊 智能门锁 Max,4,4,1台/箱,1413.9,451,34,66,0,智能门锁,亚马逊智能科技,Product
82,LG 智能开关 Lite,15,14,1套/箱,7112.72,682,174,74,0,智能开关,LG智能家电,Product
83,西门子 智能手环 Standard,12,13,1台/件,4892.47,685,187,77,1,智能手环,西门子智能家居,Product
84,苹果 智能扫地机器人 Pro,3,7,1个/盒,4063.85,271,181,22,0,智能扫地机器人,苹果智能家庭,Product
85,博世 智能马桶 Basic,11,15,1个/件,1564.93,838,0,63,0,智能马桶,博世智能系统,Product
86,博世 智能摄像头 Standard,11,5,2个/包,8286.27,111,187,44,0,智能摄像头,博世智能系统,Product
87,美的 智能马桶 Mini,9,15,1套/箱,3349.58,596,64,78,0,智能马桶,美的智能科技,Product
88,格力 智能体重秤 Ultra,10,12,1台/箱,4528.2,575,128,24,0,智能体重秤,格力智能电器,Product
89,博世 智能空调 Lite,11,10,1个/盒,9160.39,135,140,18,0,智能空调,博世智能系统,Product
90,三星 智能窗帘 Standard,6,6,1个/件,2559.17,361,83,95,0,智能窗帘,三星智能家电,Product
91,亚马逊 智能音箱 Basic,4,1,1个/盒,3165.04,426,110,16,0,智能音箱,亚马逊智能科技,Product
92,西门子 智能摄像头 Plus,12,5,1台/件,9026.06,512,16,27,0,智能摄像头,西门子智能家居,Product
93,索尼 智能加湿器 Pro,14,18,5个/套,5644.5,216,119,62,0,智能加湿器,索尼智能科技,Product
94,格力 智能体重秤 Standard,10,12,2个/包,9138.52,735,172,66,0,智能体重秤,格力智能电器,Product
95,格力 智能音箱 Advanced,10,1,3个/套,8366.34,701,147,20,0,智能音箱,格力智能电器,Product
96,博世 智能空调 Lite,11,10,3个/套,8865.13,956,47,40,0,智能空调,博世智能系统,Product
97,格力 智能净水器 Ultra,10,16,5个/套,9164.46,884,165,55,0,智能净水器,格力智能电器,Product
98,格力 智能电视 Pro,10,11,2个/包,2676.49,573,102,40,0,智能电视,格力智能电器,Product
99,三星 智能音箱 Basic,6,1,1个/盒,1681.15,391,62,98,0,智能音箱,三星智能家电,Product
100,LG 智能插座 Max,15,3,3个/套,8566.89,503,24,78,0,智能插座,LG智能家电,Product
101,三星 智能摄像头 Mini,6,5,1个/件,1662.36,0,72,59,0,智能摄像头,三星智能家电,Product
